Merry McKinnon,MerryMcKinnon@hogwarts.edu,Student
Araminta Meliflua,AramintaMeliflua@hogwarts.edu,Student
Dorcas Meadowes,DorcasMeadowes@hogwarts.edu,Student
Veritas Moran,VeritasMoran@hogwarts.edu,Student
Cuthbert Mockbridge,CuthbertMockbridge@hogwarts.edu,Student
Hassan Mostafa,HassanMostafa@hogwarts.edu,Student
Z Nettles,ZNettles@hogwarts.edu,Student
Eric Munch,EricMunch@hogwarts.edu,Student
Phineas Nigellus,PhineasNigellus@hogwarts.edu,Student
Rufus Obalonsky,RufusObalonsky@hogwarts.edu,Student
Rupert Ollivander,RupertOllivander@hogwarts.edu,Student
Tiberius Ogden,TiberiusOgden@hogwarts.edu,Student
Arnold Peasegood,ArnoldPeasegood@hogwarts.edu,Student
Peter Pettigrew,PeterPettigrew@hogwarts.edu,Student
Sturgis Podmore,SturgisPodmore@hogwarts.edu,Student
Piers Polkiss,PiersPolkiss@hogwarts.edu,Student
James Potter,JamesPotter@hogwarts.edu,Student
Roddy Pontner,RoddyPontner@hogwarts.edu,Student
Ernie Prang,ErniePrang@hogwarts.edu,Student
Lily Potter,LilyPotter@hogwarts.edu,Student
Apollyon Pringle,ApollyonPringle@hogwarts.edu,Student
Gideon Prewett,GideonPrewett@hogwarts.edu,Student
Augustus Pye,AugustusPye@hogwarts.edu,Student
Rowena Ravenclaw,RowenaRavenclaw@hogwarts.edu,Student
Salazar Slytherin,SalazarSlytherin@hogwarts.edu,Student
Helga Hufflepuff,HelgaHufflepuff@hogwarts.edu,Student
